[2021-12-13 11:35:10.612] [exthost] [info] Extension host with pid 1893 started
[2021-12-13 11:35:10.612] [exthost] [info] Skipping acquiring lock for /home/meatshifter/.config/Code/User/workspaceStorage/cb4c65ee2a43107eee40c54ec8ff0138.
[2021-12-13 11:35:12.822] [exthost] [info] ExtensionService#_doActivateExtension vscode.microsoft-authentication, startup: false, activationEvent: 'onAuthenticationRequest:microsoft'
[2021-12-13 11:35:12.879] [exthost] [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: true, activationEvent: '*'
[2021-12-13 11:35:12.889] [exthost] [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.github
[2021-12-13 11:35:12.902] [exthost] [info] ExtensionService#_doActivateExtension bierner.emojisense, startup: true, activationEvent: '*'
[2021-12-13 11:35:12.962] [exthost] [info] ExtensionService#_doActivateExtension ExodiusStudios.comment-anchors, startup: true, activationEvent: '*'
[2021-12-13 11:35:13.125] [exthost] [info] ExtensionService#_doActivateExtension formulahendry.auto-close-tag, startup: true, activationEvent: '*'
[2021-12-13 11:35:13.152] [exthost] [info] ExtensionService#_doActivateExtension formulahendry.auto-rename-tag, startup: true, activationEvent: '*'
[2021-12-13 11:35:13.242] [exthost] [info] ExtensionService#_doActivateExtension hoovercj.vscode-power-mode, startup: true, activationEvent: '*'
[2021-12-13 11:35:16.411] [exthost] [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
[2021-12-13 11:35:16.886] [exthost] [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
[2021-12-13 11:35:18.021] [exthost] [info] Eager extensions activated
[2021-12-13 11:35:18.671] [exthost] [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
[2021-12-13 11:35:18.730] [exthost] [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onStartupFinished'
[2021-12-13 11:35:18.797] [exthost] [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
[2021-12-13 11:35:18.811] [exthost] [info] ExtensionService#_doActivateExtension darkriszty.markdown-table-prettify, startup: false, activationEvent: 'onStartupFinished'
[2021-12-13 11:35:19.169] [exthost] [info] ExtensionService#_doActivateExtension esbenp.prettier-vscode, startup: false, activationEvent: 'onStartupFinished'
[2021-12-13 11:35:21.307] [exthost] [info] ExtensionService#_doActivateExtension fcrespo82.markdown-table-formatter, startup: false, activationEvent: 'onStartupFinished'
[2021-12-13 11:35:21.415] [exthost] [info] ExtensionService#_doActivateExtension formulahendry.code-runner, startup: false, activationEvent: 'onStartupFinished'
[2021-12-13 11:39:34.697] [exthost] [info] ExtensionService#_doActivateExtension vscode.css-language-features, startup: false, activationEvent: 'onLanguage:css'
[2021-12-13 11:43:21.475] [exthost] [info] ExtensionService#_doActivateExtension vscode.html-language-features, startup: false, activationEvent: 'onLanguage:html'
